scenario_id,period_number,parallel_shock_size,curve,period_length,simulation_number
0,0,-0.25,8,1.0,0
0,0,-0.25,9,1.0,0
0,0,-0.25,10,1.0,0
0,0,-0.25,11,1.0,0
0,0,-0.25,12,1.0,0
0,0,-0.25,13,1.0,0
0,0,-0.25,14,1.0,0
0,0,-0.25,15,1.0,0
0,0,-0.25,16,1.0,0
0,0,-0.25,17,1.0,0
0,0,-0.25,18,1.0,0
0,0,-0.25,19,1.0,0
0,0,-0.25,20,1.0,0
0,0,-0.25,21,1.0,0
0,0,-0.25,22,1.0,0
0,1,-0.25,8,1.0,0
0,1,-0.25,9,1.0,0
0,1,-0.25,10,1.0,0
0,1,-0.25,11,1.0,0
0,1,-0.25,12,1.0,0
0,1,-0.25,13,1.0,0
0,1,-0.25,14,1.0,0
0,1,-0.25,15,1.0,0
0,1,-0.25,16,1.0,0
0,1,-0.25,17,1.0,0
0,1,-0.25,18,1.0,0
0,1,-0.25,19,1.0,0
0,1,-0.25,20,1.0,0
0,1,-0.25,21,1.0,0
0,1,-0.25,22,1.0,0
0,2,-0.05,8,1.0,0
0,2,-0.05,9,1.0,0
0,2,-0.05,10,1.0,0
0,2,-0.05,11,1.0,0
0,2,-0.05,12,1.0,0
0,2,-0.05,13,1.0,0
0,2,-0.05,14,1.0,0
0,2,-0.05,15,1.0,0
0,2,-0.05,16,1.0,0
0,2,-0.05,17,1.0,0
0,2,-0.05,18,1.0,0
0,2,-0.05,19,1.0,0
0,2,-0.05,20,1.0,0
0,2,-0.05,21,1.0,0
0,2,-0.05,22,1.0,0
0,3,-0.1,8,1.0,0
0,3,-0.1,9,1.0,0
0,3,-0.1,10,1.0,0
0,3,-0.1,11,1.0,0
0,3,-0.1,12,1.0,0
0,3,-0.1,13,1.0,0
0,3,-0.1,14,1.0,0
0,3,-0.1,15,1.0,0
0,3,-0.1,16,1.0,0
0,3,-0.1,17,1.0,0
0,3,-0.1,18,1.0,0
0,3,-0.1,19,1.0,0
0,3,-0.1,20,1.0,0
0,3,-0.1,21,1.0,0
0,3,-0.1,22,1.0,0
0,4,-0.05,8,1.0,0
0,4,-0.05,9,1.0,0
0,4,-0.05,10,1.0,0
0,4,-0.05,11,1.0,0
0,4,-0.05,12,1.0,0
0,4,-0.05,13,1.0,0
0,4,-0.05,14,1.0,0
0,4,-0.05,15,1.0,0
0,4,-0.05,16,1.0,0
0,4,-0.05,17,1.0,0
0,4,-0.05,18,1.0,0
0,4,-0.05,19,1.0,0
0,4,-0.05,20,1.0,0
0,4,-0.05,21,1.0,0
0,4,-0.05,22,1.0,0
0,5,-0.1,8,1.0,0
0,5,-0.1,9,1.0,0
0,5,-0.1,10,1.0,0
0,5,-0.1,11,1.0,0
0,5,-0.1,12,1.0,0
0,5,-0.1,13,1.0,0
0,5,-0.1,14,1.0,0
0,5,-0.1,15,1.0,0
0,5,-0.1,16,1.0,0
0,5,-0.1,17,1.0,0
0,5,-0.1,18,1.0,0
0,5,-0.1,19,1.0,0
0,5,-0.1,20,1.0,0
0,5,-0.1,21,1.0,0
0,5,-0.1,22,1.0,0
0,6,-0.1,8,1.0,0
0,6,-0.1,9,1.0,0
0,6,-0.1,10,1.0,0
0,6,-0.1,11,1.0,0
0,6,-0.1,12,1.0,0
0,6,-0.1,13,1.0,0
0,6,-0.1,14,1.0,0
0,6,-0.1,15,1.0,0
0,6,-0.1,16,1.0,0
0,6,-0.1,17,1.0,0
0,6,-0.1,18,1.0,0
0,6,-0.1,19,1.0,0
0,6,-0.1,20,1.0,0
0,6,-0.1,21,1.0,0
0,6,-0.1,22,1.0,0
0,7,-0.25,8,1.0,0
0,7,-0.25,9,1.0,0
0,7,-0.25,10,1.0,0
0,7,-0.25,11,1.0,0
0,7,-0.25,12,1.0,0
0,7,-0.25,13,1.0,0
0,7,-0.25,14,1.0,0
0,7,-0.25,15,1.0,0
0,7,-0.25,16,1.0,0
0,7,-0.25,17,1.0,0
0,7,-0.25,18,1.0,0
0,7,-0.25,19,1.0,0
0,7,-0.25,20,1.0,0
0,7,-0.25,21,1.0,0
0,7,-0.25,22,1.0,0
0,8,-0.25,8,1.0,0
0,8,-0.25,9,1.0,0
0,8,-0.25,10,1.0,0
0,8,-0.25,11,1.0,0
0,8,-0.25,12,1.0,0
0,8,-0.25,13,1.0,0
0,8,-0.25,14,1.0,0
0,8,-0.25,15,1.0,0
0,8,-0.25,16,1.0,0
0,8,-0.25,17,1.0,0
0,8,-0.25,18,1.0,0
0,8,-0.25,19,1.0,0
0,8,-0.25,20,1.0,0
0,8,-0.25,21,1.0,0
0,8,-0.25,22,1.0,0
0,9,-0.25,8,1.0,0
0,9,-0.25,9,1.0,0
0,9,-0.25,10,1.0,0
0,9,-0.25,11,1.0,0
0,9,-0.25,12,1.0,0
0,9,-0.25,13,1.0,0
0,9,-0.25,14,1.0,0
0,9,-0.25,15,1.0,0
0,9,-0.25,16,1.0,0
0,9,-0.25,17,1.0,0
0,9,-0.25,18,1.0,0
0,9,-0.25,19,1.0,0
0,9,-0.25,20,1.0,0
0,9,-0.25,21,1.0,0
0,9,-0.25,22,1.0,0
