portfolio_name,position_date,identifier_client,book_price,quantity,curve_name
USIG,2025-05-07,US37310PAB76,88.45,253072.02,USD_SWAP
USIG,2025-05-07,US65339KBK51,96.84,762688.3,USD_SWAP
USIG,2025-05-07,US575718AA93,99.17,923626.87,USD_SWAP
USIG,2025-05-07,US914886AA41,91.36,279718.1,USD_SWAP
USIG,2025-05-07,US89356BAE83,95.13,1171864.22,USD_SWAP
USIG,2025-05-07,US76720AAW62,99.74,1159774.74,USD_SWAP
USIG,2025-05-07,US18600TAA07,82.98,376126.27,USD_SWAP
USIG,2025-05-07,US571676BD64,98.57,1419409.57,USD_SWAP
USIG,2025-05-07,US29250NAS45,95.96,1340477.43,USD_SWAP
USIG,2025-05-07,US655844CU03,101.75,834640.74,USD_SWAP
USIG,2025-05-07,US649322AE41,81.36,210289.71,USD_SWAP
USIG,2025-05-07,US911312CF10,95.96,594951.88,USD_SWAP
USIG,2025-05-07,US13034VAA26,80.93,338620.29,USD_SWAP
USIG,2025-05-07,US401378AC83,83.25,579512.43,USD_SWAP
USIG,2025-05-07,US575718AB76,80.81,367011.8,USD_SWAP
USIG,2025-05-07,US375558CE12,97.09,1094498.88,USD_SWAP
USIG,2025-05-07,US341081GZ45,101.09,1199920.02,USD_SWAP
USIG,2025-05-07,US438516CU84,92.48,909476.3,USD_SWAP
USIG,2025-05-07,US539830BY44,102.75,1275042.51,USD_SWAP
USIG,2025-05-07,US30303M8R66,99.9,2854532.91,USD_SWAP
USIG,2025-05-07,US575767AM08,88.21,1057018.04,USD_SWAP
USIG,2025-05-07,US30303M8W51,96.66,3445353.11,USD_SWAP
USIG,2025-05-07,US91481CAA80,82.16,223712.96,USD_SWAP
USIG,2025-05-07,US29379VBR33,96.31,874260.55,USD_SWAP
USIG,2025-05-07,US940663AD91,75.08,248147.02,USD_SWAP
USIG,2025-05-07,US110122EB03,105.18,1964753.33,USD_SWAP
USIG,2025-05-07,US00287YDX40,96.43,2222170.02,USD_SWAP
USIG,2025-05-07,US29366WAG15,98.6,511278.78,USD_SWAP
USIG,2025-05-07,US75513ECX76,108.1,2257742.49,USD_SWAP
USIG,2025-05-07,US871607AG29,97.61,3103589.0,USD_SWAP
USIG,2025-05-07,US482480AN02,91.72,1216013.69,USD_SWAP
USIG,2025-05-07,US68233JDA97,99.47,830254.68,USD_SWAP
USIG,2025-05-07,US29364WBQ06,99.02,1178949.08,USD_SWAP
USIG,2025-05-07,US641423CG18,101.78,829808.88,USD_SWAP
USIG,2025-05-07,US437076DG44,95.31,563232.61,USD_SWAP
USIG,2025-05-07,US539830CE70,91.36,794355.79,USD_SWAP
USIG,2025-05-07,US459200LK58,97.57,1402383.55,USD_SWAP
USIG,2025-05-07,US29366WAE66,99.71,581707.89,USD_SWAP
USIG,2025-05-07,US907818GD49,90.31,394180.5,USD_SWAP
USIG,2025-05-07,US14448CBD56,105.48,1019194.84,USD_SWAP
USIG,2025-05-07,US63111XAK72,101.0,1287212.12,USD_SWAP
USIG,2025-05-07,US29365TAN46,98.54,482145.68,USD_SWAP
USIG,2025-05-07,US716743AX79,100.44,125993.83,USD_SWAP
USIG,2025-05-07,US927804GU26,96.96,488719.89,USD_SWAP
USIG,2025-05-07,US20030NEK37,96.55,1783468.48,USD_SWAP
USIG,2025-05-07,US26444HAR21,105.53,1039561.93,USD_SWAP
USIG,2025-05-07,US126408HL09,81.88,569790.39,USD_SWAP
USIG,2025-05-07,US25731VAB09,106.31,772028.6,USD_SWAP
USIG,2025-05-07,US532457CZ98,99.88,1298090.57,USD_SWAP
USIG,2025-05-07,US26875PAW14,97.01,884932.26,USD_SWAP
USIG,2025-05-07,US842434DA71,96.21,734046.15,USD_SWAP
USIG,2025-05-07,US91324PFL13,96.57,3988988.44,USD_SWAP
USIG,2025-05-07,US209111GD93,104.19,737789.49,USD_SWAP
USIG,2025-05-07,US29366MAG33,98.59,539742.38,USD_SWAP
USIG,2025-05-07,US91324PES74,100.0,3034373.73,USD_SWAP
USIG,2025-05-07,US26442EAL48,95.16,627342.66,USD_SWAP
USIG,2025-05-07,US03523TBW71,101.83,3111910.94,USD_SWAP
USIG,2025-05-07,US209111GG25,100.9,1501095.55,USD_SWAP
USIG,2025-05-07,US29364WBN74,97.74,968982.84,USD_SWAP
USIG,2025-05-07,US927804GS79,95.56,898707.37,USD_SWAP
USIG,2025-05-07,US89356BAC28,96.67,1747758.59,USD_SWAP
USIG,2025-05-07,US797440CF91,95.48,870271.23,USD_SWAP
USIG,2025-05-07,US76720AAV89,99.43,2727274.34,USD_SWAP
USIG,2025-05-07,US049560BA22,106.21,768177.98,USD_SWAP
USIG,2025-05-07,US70450YAQ61,94.77,649689.8,USD_SWAP
USIG,2025-05-07,US927804GN82,97.75,855086.34,USD_SWAP
USIG,2025-05-07,US059165ES50,97.37,523082.19,USD_SWAP
USIG,2025-05-07,US61747YFV20,95.95,4473951.59,USD_SWAP
USIG,2025-05-07,US17275RBV33,95.53,1417216.35,USD_SWAP
USIG,2025-05-07,US68233JCU60,95.79,1100175.28,USD_SWAP
USIG,2025-05-07,US26442EAK64,97.23,580778.52,USD_SWAP
USIG,2025-05-07,US58933YBN40,91.58,1374815.53,USD_SWAP
USIG,2025-05-07,US30036FAB76,97.66,520943.61,USD_SWAP
USIG,2025-05-07,US401378AB01,86.58,498843.79,USD_SWAP
USIG,2025-05-07,US018820AD21,96.85,1606483.13,USD_SWAP
USIG,2025-05-07,US202795KA72,97.59,499241.94,USD_SWAP
USIG,2025-05-07,US26444HAN17,101.68,770945.33,USD_SWAP
USIG,2025-05-07,US644188BH66,101.62,463224.25,USD_SWAP
USIG,2025-05-07,US716743AS84,84.55,1266444.51,USD_SWAP
USIG,2025-05-07,US49177JAR32,92.66,1074844.0,USD_SWAP
USIG,2025-05-07,US487836CA47,99.44,555776.31,USD_SWAP
USIG,2025-05-07,US502431AV15,95.38,853595.84,USD_SWAP
USIG,2025-05-07,US91324PFC14,93.18,2300518.01,USD_SWAP
USIG,2025-05-07,US502431AR03,96.52,676104.63,USD_SWAP
USIG,2025-05-07,US649322AF16,67.75,281541.17,USD_SWAP
USIG,2025-05-07,US45138LBH50,94.65,719235.74,USD_SWAP
USIG,2025-05-07,US595620AY17,101.44,1281230.68,USD_SWAP
USIG,2025-05-07,US191216DT43,97.02,2431618.42,USD_SWAP
USIG,2025-05-07,US571676BC81,98.86,6938344.86,USD_SWAP
USIG,2025-05-07,US89157XAB73,95.16,2496528.86,USD_SWAP
USIG,2025-05-07,US29379VBN29,96.52,1205377.36,USD_SWAP
USIG,2025-05-07,US209111GN75,95.83,867939.82,USD_SWAP
USIG,2025-05-07,US209111GK37,98.84,1677783.07,USD_SWAP
USIG,2025-05-07,US110122EK02,96.18,3721071.85,USD_SWAP
USIG,2025-05-07,US532457CT39,93.29,905448.49,USD_SWAP
USIG,2025-05-07,US737679DJ60,95.38,407972.66,USD_SWAP
USIG,2025-05-07,US059165EQ94,93.32,997740.3,USD_SWAP
USIG,2025-05-07,US882926AA67,90.19,2108416.45,USD_SWAP
USIG,2025-05-07,US449276AG99,92.1,1916889.3,USD_SWAP
USIG,2025-05-07,US86944BAL71,96.2,9727.98,USD_SWAP
USIG,2025-05-07,US210518CX25,77.42,343662.37,USD_SWAP
